import time: self [us] | cumulative | imported package
import time:       259 |        259 |                         cuda.pathfinder._dynamic_libs.supported_nvidia_libs
import time:      2028 |       2286 |                       cuda.pathfinder._dynamic_libs.search_platform
import time:      1620 |       3906 |                     cuda.pathfinder._dynamic_libs.search_steps
import time:       774 |        774 |                         pathlib._abc
import time:       104 |        104 |                             _winapi
import time:        93 |         93 |                             nt
import time:        77 |         77 |                             nt
import time:        69 |         69 |                             nt
import time:       213 |        213 |                             nt
import time:        66 |         66 |                             nt
import time:       190 |        190 |                             nt
import time:        79 |         79 |                             nt
import time:       780 |       1667 |                           ntpath
import time:      1187 |       2853 |                         pathlib._local
import time:       563 |       4189 |                       pathlib
import time:      1505 |       5693 |                     cuda.pathfinder._dynamic_libs.subprocess_protocol
import time:       997 |      24000 |                   cuda.pathfinder._dynamic_libs.load_nvidia_dynamic_lib
import time:       104 |        104 |                     cuda.pathfinder._headers
import time:      2291 |       2291 |                       cuda.pathfinder._headers.header_descriptor_catalog
import time:       257 |       2547 |                     cuda.pathfinder._headers.header_descriptor
import time:       910 |       3561 |                   cuda.pathfinder._headers.find_nvidia_headers
import time:       274 |        274 |                   cuda.pathfinder._headers.supported_nvidia_headers
import time:        99 |         99 |                     cuda.pathfinder._static_libs
import time:      1425 |       1523 |                   cuda.pathfinder._static_libs.find_bitcode_lib
import time:       964 |        964 |                   cuda.pathfinder._static_libs.find_static_lib
import time:       141 |        141 |                   cuda.pathfinder._version
import time:      1062 |      36637 |                 cuda.pathfinder
import time:      1111 |      41774 |               cuda.bindings.cyruntime
import time:     10269 |      72677 |             cuda.bindings.runtime
import time:       964 |      76730 |           torch.cuda._utils
import time:      1336 |       1336 |           torch.cuda.graphs
import time:       267 |        267 |           torch.cuda.green_contexts
import time:       294 |        294 |           torch.cuda.streams
import time:        88 |         88 |           pynvml
import time:       230 |        230 |                 binascii
import time:       638 |        868 |               base64
import time:       904 |       1771 |             torch.cuda._memory_viz
import time:      1548 |       3319 |           torch.cuda.memory
import time:       486 |        486 |           torch.cuda.random
import time:       615 |        615 |             torch.cuda.amp.autocast_mode
import time:       390 |        390 |                 importlib._abc
import time:       489 |        879 |               importlib.util
import time:       323 |       1201 |             torch.cuda.amp.common
import time:       380 |        380 |             torch.cuda.amp.grad_scaler
import time:       448 |       2643 |           torch.cuda.amp
import time:       463 |        463 |           torch.cuda.jiterator
import time:       337 |        337 |           torch.cuda.nvtx
import time:       269 |        269 |           torch.cuda.profiler
import time:       218 |        218 |           torch.cuda.sparse
import time:       338 |        338 |               concurrent
import time:      6483 |       6483 |               concurrent.futures._base
import time:       582 |       7402 |             concurrent.futures
import time:       696 |        696 |                 multiprocessing.process
import time:       606 |        606 |                 multiprocessing.reduction
import time:      1127 |       2429 |               multiprocessing.context
import time:       544 |       2972 |             multiprocessing
import time:       626 |      10999 |           torch.cuda.tunable
import time:    246803 |     344823 |         torch.cuda
import time:       385 |        385 |             torch.sparse._semi_structured_conversions
import time:       381 |        381 |             torch.sparse._semi_structured_ops
import time:      1481 |       2245 |           torch.sparse.semi_structured
import time:       758 |       3003 |         torch.sparse
import time:       431 |        431 |         torch._compile
import time:       340 |        340 |         torch._VF
import time:       808 |        808 |               torch.nn.parameter
import time:      2194 |       2194 |                   torch._prims_common
import time:       467 |        467 |                       torch.utils.backcompat
import time:      1563 |       1563 |                       torch.utils.collect_env
import time:       451 |        451 |                             _queue
import time:      1343 |       1793 |                           queue
import time:       266 |        266 |                                     torch.distributed._pycute.typing
import time:       735 |       1001 |                                   torch.distributed._pycute.int_tuple
import time:       936 |        936 |                                   torch.distributed._pycute.layout
import time:       322 |       2258 |                                 torch.distributed._pycute
import time:      2011 |       4268 |                               torch.distributed._mesh_layout
import time:       548 |        548 |                               torch.utils._typing_utils
import time:      4197 |       4197 |                                     _hashlib
import time:       127 |        127 |                                     _blake2
import time:       590 |       4914 |                                   hashlib
import time:       353 |        353 |                                       unittest.util
import time:       448 |        800 |                                     unittest.result
import time:       354 |        354 |                                       pprint
import time:       912 |       1266 |                                     unittest.case
import time:       650 |        650 |                                     unittest.suite
import time:       804 |        804 |                                     unittest.loader
import time:       772 |        772 |                                         gettext
import time:      1113 |       1884 |                                       argparse
import time:       179 |        179 |                                         unittest.signals
import time:       366 |        544 |                                       unittest.runner
import time:       380 |       2808 |                                     unittest.main
import time:       524 |       6849 |                                   unittest
import time:      2397 |      14159 |                                 torch.utils._config_module
import time:       867 |      15025 |                               torch.distributed.config
import time:       296 |        296 |                                 torch.monitor
import time:       190 |        190 |                                   torch.distributed.logging_handlers
import time:       328 |        518 |                                 torch.distributed.c10d_logger
import time:       143 |        143 |                                 torch.distributed.constants
import time:       151 |        151 |                                     urllib
import time:      1247 |       1247 |                                     ipaddress
import time:      1197 |       2595 |                                   urllib.parse
import time:       272 |       2866 |                                 torch.distributed.rendezvous
import time:       357 |        357 |                                   torchcomms
import time:        48 |        405 |                                 torchcomms._comms
import time:       302 |        302 |                                   torchcomms
import time:        30 |        332 |                                 torchcomms._backend_wrapper
import time:      2958 |       7515 |                               torch.distributed.distributed_c10d
import time:      1893 |      29248 |                             torch.distributed.device_mesh
import time:       198 |        198 |                             torch.distributed.remote_device
import time:      8483 |      37928 |                           torch.distributed
import time:       310 |        310 |                                           torch.utils.data.datapipes._hook_iterator
import time:       421 |        730 |                                         torch.utils.data.datapipes._typing
import time:       148 |        148 |                                           torch.utils._import_utils
import time:       367 |        367 |                                             torch.utils.data.datapipes.utils
import time:       582 |        949 |                                           torch.utils.data.datapipes.utils.common
import time:      1015 |       1015 |                                           torch.utils.data.dataset
import time:       854 |       2964 |                                         torch.utils.data.datapipes.datapipe
import time:       239 |       3932 |                                       torch.utils.data.datapipes._decorator
import time:       160 |        160 |                                         torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       224 |        383 |                                       torch.utils.data.datapipes.dataframe.structures
import time:       712 |       5027 |                                     torch.utils.data.datapipes.dataframe.dataframes
import time:       877 |        877 |                                     torch.utils.data.datapipes.dataframe.datapipes
import time:       254 |       6157 |                                   torch.utils.data.datapipes.dataframe
import time:       374 |        374 |                                           torch.utils.data._utils.collate
import time:       172 |        172 |                                           torch.utils.data._utils.fetch
import time:       143 |        143 |                                           torch.utils.data._utils.pin_memory
import time:       110 |        110 |                                           torch.utils.data._utils.signal_handling
import time:      3362 |       3362 |                                           torch.utils.data._utils.worker
import time:       267 |       4424 |                                         torch.utils.data._utils
import time:        25 |       4449 |                                       torch.utils.data._utils.collate
import time:       524 |       4972 |                                     torch.utils.data.datapipes.iter.callable
import time:       454 |        454 |                                       torch.utils.data.sampler
import time:       484 |        937 |                                     torch.utils.data.datapipes.iter.combinatorics
import time:      1308 |       1308 |                                     torch.utils.data.datapipes.iter.combining
import time:       189 |        189 |                                       torch.utils.data.datapipes.iter.utils
import time:       390 |        579 |                                     torch.utils.data.datapipes.iter.filelister
import time:       379 |        379 |                                     torch.utils.data.datapipes.iter.fileopener
import time:       493 |        493 |                                     torch.utils.data.datapipes.iter.grouping
import time:       345 |        345 |                                       torch.utils.data.datapipes.utils.decoder
import time:       401 |        745 |                                     torch.utils.data.datapipes.iter.routeddecoder
import time:       327 |        327 |                                     torch.utils.data.datapipes.iter.selecting
import time:       473 |        473 |                                     torch.utils.data.datapipes.iter.sharding
import time:       335 |        335 |                                     torch.utils.data.datapipes.iter.streamreader
import time:       327 |      10869 |                                   torch.utils.data.datapipes.iter
import time:       438 |        438 |                                     torch.utils.data.datapipes.map.callable
import time:       342 |        342 |                                     torch.utils.data.datapipes.map.combinatorics
import time:       621 |        621 |                                     torch.utils.data.datapipes.map.combining
import time:       817 |        817 |                                     torch.utils.data.datapipes.map.grouping
import time:       400 |        400 |                                     torch.utils.data.datapipes.map.utils
import time:       263 |       2880 |                                   torch.utils.data.datapipes.map
import time:       188 |      20092 |                                 torch.utils.data.datapipes
import time:        27 |      20119 |                               torch.utils.data.datapipes.iter
import time:        29 |      20147 |                             torch.utils.data.datapipes.iter.sharding
import time:       192 |        192 |                             torch.utils.data.graph
import time:       286 |      20624 |                           torch.utils.data.graph_settings
import time:      1454 |      61797 |                         torch.utils.data.dataloader
import time:       282 |        282 |                         torch.utils.data.distributed
import time:       399 |      62477 |                       torch.utils.data
import time:       158 |        158 |                       torch.utils.deterministic
import time:       550 |        550 |                       torch.utils.hooks
import time:       318 |        318 |                       torch.utils.backend_registration
import time:       122 |        122 |                       torch.utils.cpp_backtrace
import time:       185 |        185 |                       torch.utils.throughput_benchmark
import time:       747 |      66584 |                     torch.utils
import time:       155 |        155 |                     torchgen
import time:       478 |        478 |                         torchgen.code_template
import time:      1043 |       1521 |                       torchgen.utils
import time:     18712 |      20233 |                     torchgen.model
import time:      1812 |      88783 |                   torch.utils._python_dispatch
import time:      2194 |      93170 |                 torch.nn.modules.module
import time:       285 |        285 |                         torch.distributed.autograd
import time:       275 |        275 |                           torch.futures
import time:       153 |        153 |                           torch.distributed.rpc._utils
import time:       124 |        124 |                           torch.distributed.rpc.constants
import time:       604 |        604 |                           torch.distributed.rpc.internal
import time:       705 |       1859 |                         torch.distributed.rpc.api
import time:       511 |        511 |                         torch.distributed.rpc.backend_registry
import time:       143 |        143 |                         torch.distributed.rpc.functions
import time:       166 |        166 |                         torch.distributed.rpc.options
import time:       303 |        303 |                                     email
import time:       239 |        239 |                                         zipfile._path.glob
import time:       543 |        782 |                                       zipfile._path
import time:      1532 |       2313 |                                     zipfile
import time:       285 |        285 |                                     importlib.metadata._meta
import time:       320 |        320 |                                     importlib.metadata._collections
import time:       110 |        110 |                                     importlib.metadata._functools
import time:       173 |        173 |                                     importlib.metadata._itertools
import time:       745 |        745 |                                           importlib.resources.abc
import time:       426 |       1171 |                                         importlib.resources._common
import time:       154 |        154 |                                         importlib.resources._functional
import time:       172 |       1496 |                                       importlib.resources
import time:       465 |       1961 |                                     importlib.abc
import time:      5525 |      10988 |                                   importlib.metadata
import time:       122 |        122 |                                             torch._functorch
import time:       310 |        310 |                                                 torch.utils._contextlib
import time:       367 |        677 |                                               torch.autograd.grad_mode
import time:       467 |       1143 |                                             torch.autograd.forward_ad
import time:      1052 |       2316 |                                           torch._functorch.pyfunctorch
import time:       983 |       3299 |                                         torch._ops
import time:       994 |        994 |                                         torch._library.utils
import time:       836 |       5128 |                                       torch._library.autograd
import time:       267 |        267 |                                       torch._library.fake_impl
import time:       261 |        261 |                                         torch._library.effects
import time:       257 |        517 |                                       torch._library.simple_registry
import time:       384 |        384 |                                       torch._library.fake_class_registry
import time:       114 |        114 |                                         torch.utils._exposed_in
import time:       617 |        617 |                                         torch._library.custom_ops
import time:      1479 |       1479 |                                           torch._library.opaque_object
import time:      1170 |       2648 |                                         torch._library.infer_schema
import time:       364 |       3741 |                                       torch._library.triton
import time:       247 |      10282 |                                     torch._library
import time:        61 |      10343 |                                   torch._library.opaque_object
import time:      7945 |      29274 |                                 torch.utils._pytree
import time:       222 |      29496 |                               torch._vmap_internals
import time:       340 |        340 |                               torch.autograd.functional
import time:       277 |        277 |                                 torch.autograd.variable
import time:       915 |       1192 |                               torch.autograd.graph
import time:       178 |        178 |                               torch.autograd.anomaly_mode
import time:       154 |        154 |                                     torch._functorch.utils
import time:       135 |        135 |                                       torch._functorch.predispatch
import time:       255 |        389 |                                     torch._functorch.vmap
import time:       215 |        758 |                                   torch._functorch.apis
import time:       944 |       1701 |                                 torch._functorch.autograd_function
import time:      1208 |       2909 |                               torch.autograd.function
import time:       239 |        239 |                                   torch.testing._utils
import time:        88 |         88 |                                     cmath
import time:       954 |       1042 |                                   torch.testing._comparison
import time:       335 |        335 |                                   torch.testing._creation
import time:       367 |       1981 |                                 torch.testing
import time:      2695 |       4676 |                               torch.autograd.gradcheck
import time:       340 |        340 |                                   _uuid
import time:       964 |       1303 |                                 uuid
