import time: self [us] | cumulative | imported package
import time:       178 |        178 |                                                     sympy.polys.domains.pythonintegerring
import time:       142 |        319 |                                                   sympy.polys.domains.pythonfinitefield
import time:       161 |        161 |                                                     sympy.polys.domains.gmpyintegerring
import time:       145 |        306 |                                                   sympy.polys.domains.gmpyfinitefield
import time:       198 |        198 |                                                   sympy.polys.domains.pythonrationalfield
import time:       410 |        410 |                                                   sympy.polys.domains.gmpyrationalfield
import time:       705 |      18884 |                                                 sympy.polys.domains
import time:       480 |      19363 |                                               sympy.polys.constructor
import time:       187 |        187 |                                               sympy.polys.fglmtools
import time:       701 |        701 |                                               sympy.polys.groebnertools
import time:       134 |        134 |                                               sympy.polys.rationaltools
import time:      2327 |      24783 |                                             sympy.polys.polytools
import time:       170 |        170 |                                                     sympy.ntheory.primetest
import time:       343 |        513 |                                                   sympy.ntheory.generate
import time:       108 |        108 |                                                     sympy.ntheory.digits
import time:       168 |        168 |                                                     sympy.ntheory.ecm
import time:       587 |        862 |                                                   sympy.ntheory.factor_
import time:       120 |        120 |                                                       sympy.ntheory.modular
import time:       142 |        142 |                                                       sympy.utilities.memoization
import time:       369 |        630 |                                                     sympy.ntheory.residue_ntheory
import time:       210 |        840 |                                                   sympy.ntheory.partitions_
import time:       123 |        123 |                                                   sympy.ntheory.multinomial
import time:       129 |        129 |                                                   sympy.ntheory.continued_fraction
import time:       120 |        120 |                                                   sympy.ntheory.egyptian_fraction
import time:       182 |        182 |                                                   sympy.ntheory.qs
import time:       261 |       3027 |                                                 sympy.ntheory
import time:       814 |        814 |                                                   sympy.polys.compatibility
import time:       137 |        137 |                                                   sympy.polys.heuristicgcd
import time:       322 |        322 |                                                           sympy.printing.conventions
import time:       196 |        196 |                                                           sympy.printing.precedence
import time:       314 |        314 |                                                           sympy.printing.printer
import time:       894 |        894 |                                                           sympy.printing.str
import time:       277 |        277 |                                                               sympy.core.alphabets
import time:       944 |       1220 |                                                             sympy.printing.pretty.pretty_symbology
import time:       325 |       1545 |                                                           sympy.printing.pretty.stringpict
import time:      1840 |       5108 |                                                         sympy.printing.pretty.pretty
import time:       404 |       5511 |                                                       sympy.printing.pretty
import time:      2244 |       2244 |                                                       sympy.printing.latex
import time:      1397 |       1397 |                                                       sympy.printing.mathml
import time:       383 |        383 |                                                         sympy.printing.repr
import time:       268 |        650 |                                                       sympy.printing.python
import time:       153 |        153 |                                                                   sympy.functions.combinatorial
import time:      1394 |       1547 |                                                                 sympy.functions.combinatorial.factorials
import time:       115 |        115 |                                                                     sympy.functions.elementary
import time:      1100 |       1100 |                                                                       sympy.functions.elementary.miscellaneous
import time:       721 |        721 |                                                                       sympy.functions.elementary.piecewise
import time:      2487 |       4307 |                                                                     sympy.functions.elementary.complexes
import time:      1379 |       5800 |                                                                   sympy.functions.elementary.exponential
import time:       220 |        220 |                                                                   sympy.polys.appellseqs
import time:      4492 |      10511 |                                                                 sympy.functions.combinatorial.numbers
import time:      1563 |       1563 |                                                                   sympy.functions.elementary.integers
import time:       362 |        362 |                                                                   sympy.functions.elementary._trigonometric_special
import time:      4059 |       5983 |                                                                 sympy.functions.elementary.trigonometric
import time:      3123 |       3123 |                                                                 sympy.functions.elementary.hyperbolic
import time:       196 |        196 |                                                                   sympy.functions.special
import time:      2903 |       2903 |                                                                   sympy.functions.special.hyper
import time:      3886 |       6984 |                                                                 sympy.functions.special.error_functions
import time:      2118 |       2118 |                                                                   sympy.functions.special.zeta_functions
import time:      1594 |       3711 |                                                                 sympy.functions.special.gamma_functions
import time:       683 |        683 |                                                                 sympy.functions.special.tensor_functions
import time:      1031 |       1031 |                                                                       sympy.polys.polyquinticconst
import time:       584 |       1615 |                                                                     sympy.polys.polyroots
import time:       880 |       2495 |                                                                   sympy.functions.special.delta_functions
import time:       370 |       2864 |                                                                 sympy.functions.special.singularity_functions
import time:      1688 |       1688 |                                                                       sympy.sets.sets
import time:      2075 |       2075 |                                                                       sympy.sets.fancysets
import time:       349 |        349 |                                                                       sympy.sets.contains
import time:       363 |        363 |                                                                       sympy.sets.conditionset
import time:       512 |        512 |                                                                       sympy.sets.ordinals
import time:       234 |        234 |                                                                       sympy.sets.powerset
import time:       113 |        113 |                                                                         sympy.sets.handlers
import time:      1809 |       1921 |                                                                       sympy.sets.handlers.comparison
import time:       310 |       7448 |                                                                     sympy.sets
import time:        28 |       7476 |                                                                   sympy.sets.sets
import time:       213 |       7689 |                                                                 sympy.functions.special.bsplines
import time:       196 |        196 |                                                                   sympy.polys.orthopolys
import time:      3302 |       3498 |                                                                 sympy.functions.special.bessel
import time:      1832 |       1832 |                                                                 sympy.functions.special.polynomials
import time:       577 |        577 |                                                                 sympy.functions.special.spherical_harmonics
import time:      1142 |       1142 |                                                                 sympy.functions.special.elliptic_integrals
import time:       645 |        645 |                                                                 sympy.functions.special.beta_functions
import time:       698 |        698 |                                                                 sympy.functions.special.mathieu_functions
import time:       718 |      52195 |                                                               sympy.functions
import time:        38 |      52233 |                                                             sympy.functions.elementary
import time:        34 |      52267 |                                                           sympy.functions.elementary.complexes
import time:       639 |      52905 |                                                         sympy.printing.codeprinter
import time:       786 |      53691 |                                                       sympy.printing.pycode
import time:       626 |        626 |                                                         sympy.assumptions.relation.equality
import time:       501 |       1127 |                                                       sympy.printing.smtlib
import time:       304 |        304 |                                                       sympy.printing.glsl
import time:       285 |        285 |                                                       sympy.printing.rcode
import time:       229 |        229 |                                                       sympy.printing.jscode
import time:       345 |        345 |                                                       sympy.printing.julia
import time:       419 |        419 |                                                       sympy.printing.mathematica
import time:       418 |        418 |                                                       sympy.printing.octave
import time:       405 |        405 |                                                         sympy.utilities.mathml
import time:       144 |        548 |                                                       sympy.printing.gtk
import time:       268 |        268 |                                                       sympy.printing.preview
import time:       131 |        131 |                                                       sympy.printing.tree
import time:       599 |        599 |                                                       sympy.printing.tableform
import time:       191 |        191 |                                                       sympy.printing.dot
import time:       331 |        331 |                                                       sympy.printing.maple
import time:       463 |      69140 |                                                     sympy.printing
import time:       157 |      69297 |                                                   sympy.printing.defaults
import time:       114 |        114 |                                                   sympy.utilities.magic
import time:      1213 |      71573 |                                                 sympy.polys.rings
import time:       243 |      74841 |                                               sympy.polys.specialpolys
import time:       228 |      75069 |                                             sympy.polys.polyfuncs
import time:       433 |        433 |                                                   sympy.polys.puiseux
import time:       557 |        990 |                                                 sympy.polys.ring_series
import time:      1673 |       1673 |                                                 sympy.polys.rootoftools
import time:       386 |       3048 |                                               sympy.polys.numberfields.minpoly
import time:       303 |        303 |                                               sympy.polys.numberfields.subfield
import time:      3616 |       3616 |                                                       sympy.polys.matrices.exceptions
import time:       376 |        376 |                                                       sympy.polys.matrices.domainscalar
import time:       193 |        193 |                                                           sympy.polys.matrices._typing
import time:       241 |        434 |                                                         sympy.polys.matrices.dense
import time:       191 |        191 |                                                         sympy.polys.matrices.lll
import time:       546 |        546 |                                                         sympy.polys.matrices.sdm
import time:       152 |        152 |                                                         sympy.polys.matrices.dfm
import time:       524 |       1846 |                                                       sympy.polys.matrices.ddm
import time:       217 |        217 |                                                       sympy.polys.matrices.rref
import time:      1383 |       7436 |                                                     sympy.polys.matrices.domainmatrix
import time:       140 |       7576 |                                                   sympy.polys.matrices
import time:        59 |       7635 |                                                 sympy.polys.matrices.exceptions
import time:       613 |        613 |                                                   sympy.printing.numpy
import time:       338 |        951 |                                                 sympy.printing.lambdarepr
import time:       294 |       8879 |                                               sympy.polys.numberfields.utilities
import time:       176 |        176 |                                                   sympy.polys.matrices.normalforms
import time:       360 |        360 |                                                   sympy.polys.numberfields.exceptions
import time:       623 |       1158 |                                                 sympy.polys.numberfields.modules
import time:       207 |       1364 |                                               sympy.polys.numberfields.basis
import time:       446 |        446 |                                               sympy.polys.numberfields.primes
import time:       443 |        443 |                                                 sympy.polys.numberfields.galois_resolvents
import time:       366 |        808 |                                               sympy.polys.numberfields.galoisgroups
import time:       201 |      15046 |                                             sympy.polys.numberfields
import time:       264 |        264 |                                                 sympy.matrices.exceptions
import time:       257 |        257 |                                                 sympy.matrices.kind
import time:       161 |        161 |                                                     sympy.matrices.utilities
import time:       300 |        300 |                                                     sympy.matrices.determinant
import time:       287 |        747 |                                                   sympy.matrices.decompositions
import time:      1107 |       1107 |                                                         sympy.tensor.indexed
import time:       323 |        323 |                                                         sympy.tensor.index_methods
import time:       448 |        448 |                                                         sympy.tensor.functions
import time:       504 |        504 |                                                               sympy.tensor.array.ndim_array
import time:       252 |        755 |                                                             sympy.tensor.array.mutable_ndim_array
import time:       590 |       1345 |                                                           sympy.tensor.array.dense_ndim_array
import time:       364 |        364 |                                                           sympy.tensor.array.sparse_ndim_array
import time:       228 |        228 |                                                           sympy.tensor.array.arrayop
import time:       357 |        357 |                                                           sympy.tensor.array.array_comprehension
import time:       441 |       2733 |                                                         sympy.tensor.array
import time:       299 |       4909 |                                                       sympy.tensor
import time:        36 |       4944 |                                                     sympy.tensor.array
import time:       189 |        189 |                                                     sympy.matrices.reductions
import time:       220 |        220 |                                                                   sympy.polys.agca.ideals
import time:       801 |       1021 |                                                                 sympy.polys.agca.modules
import time:       336 |       1356 |                                                               sympy.polys.agca.homomorphisms
import time:       120 |       1476 |                                                             sympy.polys.agca
import time:       274 |       1750 |                                                           sympy.polys.agca.extensions
import time:       156 |       1906 |                                                         sympy.polys.matrices.eigen
import time:       361 |       2267 |                                                       sympy.matrices.eigen
import time:       215 |       2481 |                                                     sympy.matrices.solvers
import time:       204 |        204 |                                                     sympy.matrices.inverse
import time:       135 |        135 |                                                     sympy.matrices.subspaces
import time:       116 |        116 |                                                     sympy.matrices.graph
import time:      1973 |      10039 |                                                   sympy.matrices.matrixbase
import time:       416 |        416 |                                                   sympy.matrices.repmatrix
import time:       389 |      11589 |                                                 sympy.matrices.dense
import time:       276 |        276 |                                                 sympy.matrices.sparse
import time:       137 |        137 |                                                 sympy.matrices.sparsetools
import time:       132 |        132 |                                                               sympy.strategies.util
import time:       334 |        466 |                                                             sympy.strategies.rl
import time:       175 |        175 |                                                               sympy.strategies.core
import time:       141 |        316 |                                                             sympy.strategies.traverse
import time:       119 |        119 |                                                             sympy.strategies.tools
import time:       139 |        139 |                                                                 sympy.strategies.branch.core
import time:       155 |        294 |                                                               sympy.strategies.branch.traverse
import time:        93 |         93 |                                                               sympy.strategies.branch.tools
import time:       181 |        567 |                                                             sympy.strategies.branch
import time:       345 |       1810 |                                                           sympy.strategies
import time:       200 |        200 |                                                           sympy.matrices.expressions._shape
import time:       887 |        887 |                                                               sympy.matrices.expressions.special
import time:       330 |       1216 |                                                             sympy.matrices.expressions.matpow
import time:       268 |       1483 |                                                           sympy.matrices.expressions.inverse
import time:       276 |        276 |                                                           sympy.matrices.expressions.transpose
import time:       352 |        352 |                                                           sympy.matrices.expressions.permutation
import time:      1066 |       5185 |                                                         sympy.matrices.expressions.matmul
import time:       388 |        388 |                                                         sympy.matrices.expressions.matadd
import time:       327 |        327 |                                                         sympy.matrices.expressions.determinant
import time:      1743 |       7641 |                                                       sympy.matrices.expressions.matexpr
import time:       285 |       7925 |                                                     sympy.matrices.expressions.slice
import time:       367 |        367 |                                                       sympy.matrices.expressions.trace
import time:      1066 |       1432 |                                                     sympy.matrices.expressions.blockmatrix
import time:       331 |        331 |                                                     sympy.matrices.expressions.companion
import time:       402 |        402 |                                                     sympy.matrices.expressions.funcmatrix
import time:       239 |        239 |                                                     sympy.matrices.expressions.adjoint
import time:       455 |        455 |                                                     sympy.matrices.expressions.hadamard
import time:       474 |        474 |                                                     sympy.matrices.expressions.diagonal
import time:       199 |        199 |                                                     sympy.matrices.expressions.dotproduct
import time:       329 |        329 |                                                     sympy.matrices.expressions.kronecker
import time:       262 |        262 |                                                     sympy.matrices.expressions.sets
import time:       628 |      12670 |                                                   sympy.matrices.expressions
import time:      1463 |      14132 |                                                 sympy.matrices.immutable
import time:       283 |      26935 |                                               sympy.matrices
import time:       297 |      27232 |                                             sympy.polys.partfrac
import time:       581 |        581 |                                             sympy.polys.fields
import time:       423 |     143130 |                                           sympy.polys
import time:       447 |        447 |                                             sympy.series.order
import time:       183 |        183 |                                                   sympy.calculus.euler
import time:       149 |        149 |                                                   sympy.calculus.singularities
import time:       170 |        170 |                                                   sympy.calculus.finite_diff
import time:       818 |        818 |                                                     sympy.calculus.accumulationbounds
import time:       345 |       1163 |                                                   sympy.calculus.util
import time:       180 |       1843 |                                                 sympy.calculus
import time:        33 |       1875 |                                               sympy.calculus.accumulationbounds
import time:       416 |        416 |                                               sympy.series.gruntz
import time:       359 |       2649 |                                             sympy.series.limits
import time:       113 |        113 |                                             sympy.series.series
import time:       132 |        132 |                                             sympy.series.approximants
import time:       121 |        121 |                                             sympy.series.residues
import time:      1634 |       1634 |                                             sympy.series.sequences
import time:       273 |        273 |                                               sympy.series.series_class
import time:       614 |        887 |                                             sympy.series.fourier
import time:       258 |        258 |                                                   sympy.discrete.transforms
import time:       157 |        157 |                                                   sympy.discrete.convolutions
import time:       169 |        583 |                                                 sympy.discrete
import time:        35 |        617 |                                               sympy.discrete.convolutions
import time:      2034 |       2651 |                                             sympy.series.formal
import time:       253 |        253 |                                             sympy.series.limitseq
import time:       314 |       9198 |                                           sympy.series
import time:       480 |        480 |                                                 sympy.concrete.expr_with_limits
import time:       304 |        783 |                                               sympy.concrete.expr_with_intlimits
import time:       722 |        722 |                                                 sympy.concrete.gosper
import time:       217 |        217 |                                                       sympy.integrals.rationaltools
import time:       147 |        147 |                                                       sympy.integrals.deltafunctions
import time:       798 |        798 |                                                       sympy.integrals.meijerint
import time:       177 |        177 |                                                       sympy.integrals.trigonometry
import time:       840 |       2177 |                                                     sympy.integrals.integrals
import time:        88 |         88 |                                                             sympy.polys.domainmatrix
import time:       289 |        376 |                                                           sympy.polys.solvers
import time:       218 |        594 |                                                         sympy.polys.matrices.linsolve
import time:      1297 |       1890 |                                                       sympy.integrals.laplace
import time:      2157 |       4047 |                                                     sympy.integrals.transforms
import time:       140 |        140 |                                                     sympy.integrals.singularityfunctions
import time:       191 |       6553 |                                                   sympy.integrals
import time:        35 |       6588 |                                                 sympy.integrals.integrals
import time:       884 |       8193 |                                               sympy.concrete.summations
import time:       457 |       9432 |                                             sympy.concrete.products
import time:       142 |       9574 |                                           sympy.concrete
import time:       408 |        408 |                                                 sympy.simplify.gammasimp
import time:       153 |        560 |                                               sympy.simplify.combsimp
import time:       146 |        146 |                                               sympy.simplify.cse_opts
import time:       360 |        360 |                                                 sympy.simplify.powsimp
import time:      1497 |       1857 |                                               sympy.simplify.hyperexpand
import time:       270 |        270 |                                                 sympy.simplify.sqrtdenest
import time:       428 |        698 |                                               sympy.simplify.radsimp
import time:       334 |        334 |                                                 sympy.simplify.cse_main
import time:       139 |        139 |                                                 sympy.strategies.tree
import time:       465 |        937 |                                               sympy.simplify.trigsimp
import time:       765 |       4961 |                                             sympy.simplify.simplify
import time:      1082 |       1082 |                                             sympy.simplify.fu
import time:       218 |        218 |                                             sympy.simplify.epathtools
import time:       179 |        179 |                                             sympy.simplify.ratsimp
import time:       257 |       6695 |                                           sympy.simplify
import time:       354 |        354 |                                               sympy.solvers.polysys
import time:       237 |        237 |                                               sympy.solvers.bivariate
import time:       932 |       1522 |                                             sympy.solvers.solvers
import time:       964 |        964 |                                                   sympy.solvers.solveset
import time:      1545 |       2509 |                                                 sympy.solvers.diophantine.diophantine
import time:       175 |       2684 |                                               sympy.solvers.diophantine
import time:        36 |       2720 |                                             sympy.solvers.diophantine.diophantine
import time:       313 |        313 |                                             sympy.solvers.recurr
import time:       142 |        142 |                                                 sympy.solvers.deutils
import time:       284 |        284 |                                                   sympy.solvers.ode.riccati
import time:       193 |        193 |                                                   sympy.solvers.ode.hypergeometric
import time:       177 |        177 |                                                     sympy.solvers.ode.subscheck
import time:       258 |        435 |                                                   sympy.solvers.ode.nonhomogeneous
import time:       217 |        217 |                                                     sympy.solvers.pde
import time:       288 |        505 |                                                   sympy.solvers.ode.lie_group
import time:      1110 |       2525 |                                                 sympy.solvers.ode.single
import time:      1587 |       4252 |                                               sympy.solvers.ode.ode
import time:       507 |        507 |                                               sympy.solvers.ode.systems
import time:       184 |       4943 |                                             sympy.solvers.ode
import time:       290 |        290 |                                             sympy.solvers.inequalities
import time:       144 |        144 |                                             sympy.solvers.decompogen
import time:       265 |        265 |                                             sympy.solvers.simplex
import time:       290 |      10484 |                                           sympy.solvers
import time:       118 |        118 |                                               sympy.geometry.exceptions
import time:      5854 |       5854 |                                                 sympy.sets.handlers.intersection
import time:      2859 |       2859 |                                                 sympy.sets.handlers.union
import time:      1631 |      10342 |                                               sympy.geometry.entity
import time:       636 |      11095 |                                             sympy.geometry.point
import time:       272 |        272 |                                               sympy.geometry.util
import time:      1646 |       1918 |                                             sympy.geometry.line
import time:       413 |        413 |                                             sympy.geometry.plane
import time:       813 |        813 |                                               sympy.geometry.polygon
import time:       608 |       1420 |                                             sympy.geometry.ellipse
import time:       256 |        256 |                                             sympy.geometry.curve
import time:       243 |        243 |                                             sympy.geometry.parabola
import time:       241 |      15583 |                                           sympy.geometry
import time:       765 |        765 |                                             sympy.parsing.sympy_parser
import time:       130 |        895 |                                           sympy.parsing
import time:       516 |        516 |                                             sympy.algebras.quaternion
import time:       139 |        654 |                                           sympy.algebras
import time:       100 |        100 |                                                 sympy.plotting.backends
import time:       291 |        291 |                                                   sympy.plotting.utils
import time:       184 |        184 |                                                       sympy.plotting.intervalmath.interval_membership
import time:       247 |        430 |                                                     sympy.plotting.intervalmath.interval_arithmetic
import time:       189 |        189 |                                                     sympy.plotting.intervalmath.lib_interval
import time:       173 |        791 |                                                   sympy.plotting.intervalmath
import time:      1430 |       2511 |                                                 sympy.plotting.series
import time:       364 |       2974 |                                               sympy.plotting.backends.base_backend
import time:       291 |        291 |                                                 sympy.plotting.backends.matplotlibbackend.matplotlib
import time:       133 |        424 |                                               sympy.plotting.backends.matplotlibbackend
import time:       124 |        124 |                                                   sympy.plotting.textplot
import time:       176 |        300 |                                                 sympy.plotting.backends.textbackend.text
import time:       107 |        407 |                                               sympy.plotting.backends.textbackend
import time:       352 |        352 |                                               sympy.plotting.plotgrid
import time:       307 |       4461 |                                             sympy.plotting.plot
import time:       230 |        230 |                                             sympy.plotting.plot_implicit
import time:       143 |        143 |                                             sympy.plotting.pygletplot
import time:       180 |       5012 |                                           sympy.plotting
import time:       272 |        272 |                                             sympy.interactive.printing
import time:       204 |        204 |                                             sympy.interactive.session
import time:       135 |        135 |                                             sympy.interactive.traversal
import time:       167 |        777 |                                           sympy.interactive
import time:      1364 |     275415 |                                         sympy
import time:      5481 |       5481 |                                         torch.fx.experimental.recording
import time:       160 |        160 |                                           torch.utils._sympy
import time:       677 |        677 |                                           torch.utils._sympy.numbers
import time:      5020 |       5856 |                                         torch.utils._sympy.functions
import time:       978 |        978 |                                         torch.utils._sympy.printers
import time:       824 |        824 |                                         torch.utils._sympy.singleton_int
import time:       199 |        199 |                                         torch.utils._sympy.solve
import time:       461 |        461 |                                         torch.utils._sympy.symbol
import time:       220 |        220 |                                           torch.utils._sympy.interp
import time:      1942 |       2161 |                                         torch.utils._sympy.value_ranges
import time:       278 |        278 |                                         torch.fx.experimental._size_hinting
import time:     17409 |     309059 |                                       torch.fx.experimental.symbolic_shapes
import time:       368 |        368 |                                       torch._dynamo.metrics_context
import time:       281 |        281 |                                       torch.utils._triton
import time:       178 |        178 |                                       torch._dynamo.graph_utils
import time:       294 |        294 |                                             torch._numpy._casting_dicts
import time:       305 |        598 |                                           torch._numpy._dtypes_impl
import time:       253 |        253 |                                           torch._numpy._util
import time:       452 |        452 |                                             torch._numpy._dtypes
import time:       286 |        738 |                                           torch._numpy._normalizations
import time:       633 |       2220 |                                         torch._numpy.fft
import time:       808 |        808 |                                         torch._numpy.linalg
import time:       271 |        271 |                                         torch._numpy.random
import time:       633 |        633 |                                           torch._numpy._funcs_impl
import time:       232 |        232 |                                           torch._numpy._reductions_impl
import time:      1007 |       1870 |                                         torch._numpy._funcs
import time:       149 |        149 |                                         torch._numpy._getlimits
import time:       184 |        184 |                                             torch._numpy._binary_ufuncs_impl
import time:       120 |        120 |                                             torch._numpy._unary_ufuncs_impl
import time:       732 |       1035 |                                           torch._numpy._ufuncs
import time:       762 |       1796 |                                         torch._numpy._ndarray
import time:       327 |       7439 |                                       torch._numpy
import time:       355 |        355 |                                         numpy.fft._helper
import time:       250 |        250 |                                           numpy.fft._pocketfft_umath
import time:       388 |        637 |                                         numpy.fft._pocketfft
import time:       177 |       1168 |                                       numpy.fft
import time:       500 |        500 |                                             numpy.random._common
import time:       239 |        239 |                                               hmac
import time:       177 |        415 |                                             secrets
import time:       601 |       1515 |                                           numpy.random.bit_generator
import time:       309 |       1824 |                                         numpy.random._bounded_integers
import time:       274 |        274 |                                             numpy.random._pcg64
import time:      1400 |       1673 |                                           numpy.random._generator
import time:       523 |        523 |                                           numpy.random._mt19937
import time:       477 |        477 |                                           numpy.random._philox
import time:       274 |        274 |                                           numpy.random._sfc64
import time:      1576 |       1576 |                                           numpy.random.mtrand
import time:       227 |       4748 |                                         numpy.random._pickle
import time:       222 |       6793 |                                       numpy.random
import time:        83 |         83 |                                                 triton._C
import time:     32124 |      32206 |                                               triton._C.libtriton
import time:      3104 |      35310 |                                             triton.knobs
import time:       268 |        268 |                                                 triton.backends.driver
import time:      1021 |       1021 |                                                 triton.backends.compiler
import time:       373 |        373 |                                                 triton.runtime._allocation
import time:       799 |        799 |                                                   triton.runtime.cache
import time:       251 |       1049 |                                                 triton.runtime.build
import time:       107 |        107 |                                                   triton.errors
import time:       189 |        296 |                                                 triton.runtime.errors
import time:     13600 |      16604 |                                               triton.backends
import time:       147 |        147 |                                               triton.runtime.driver
import time:       199 |        199 |                                               triton.runtime._async_compile
import time:       208 |        208 |                                               triton._utils
import time:      1368 |      18525 |                                             triton.runtime.jit
